시도별,성별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
계,계,978,898,751,821,862,887,836,790,776,894,924,863,826,808,939,976,1009,1023
계,남자,646,589,490,511,535,553,540,522,509,589,580,536,509,500,550,572,594,607
계,여자,332,309,261,311,326,334,295,268,266,305,343,327,317,308,389,404,415,416
서울특별시,계,250,238,218,232,242,251,240,216,208,236,250,245,226,210,240,226,226,244
서울특별시,남자,165,152,144,142,148,150,148,141,133,157,164,155,139,125,136,129,126,139
서울특별시,여자,85,85,74,90,94,102,92,75,75,78,86,90,87,85,104,97,100,104
부산광역시,계,125,99,70,69,75,75,72,68,64,72,60,61,67,67,67,71,69,81
부산광역시,남자,83,67,46,43,49,52,50,44,40,47,40,40,45,44,44,42,42,44
부산광역시,여자,42,32,24,26,26,23,23,25,24,25,20,21,22,23,22,29,26,37
대구광역시,계,56,57,51,53,52,52,45,42,43,52,49,45,41,41,49,45,54,52
대구광역시,남자,39,40,35,34,30,32,30,26,28,33,29,31,26,26,26,26,32,30
대구광역시,여자,16,17,16,20,22,19,15,16,15,19,20,14,15,15,23,19,22,22
인천광역시,계,63,56,49,53,56,57,56,53,53,62,71,69,68,63,72,79,78,75
인천광역시,남자,39,37,32,35,36,38,39,34,34,40,42,41,40,39,39,48,48,50
인천광역시,여자,24,19,17,18,20,19,18,20,19,21,28,27,28,24,33,31,30,25
광주광역시,계,39,31,24,29,27,28,27,27,26,26,25,22,19,21,21,22,23,22
광주광역시,남자,25,20,15,19,18,18,19,19,18,17,15,14,12,14,13,12,14,14
광주광역시,여자,14,11,9,10,10,10,9,8,8,10,10,8,7,7,8,10,9,8
대전광역시,계,29,29,26,25,28,30,31,29,26,26,26,27,28,23,27,27,26,27
대전광역시,남자,19,19,16,14,16,18,19,19,17,18,15,13,16,14,16,17,15,16
대전광역시,여자,10,10,10,12,12,12,12,10,9,8,12,14,12,9,10,10,11,11
울산광역시,계,20,16,12,16,18,17,14,13,18,22,19,15,15,12,16,17,23,21
울산광역시,남자,13,10,7,10,11,10,9,8,12,14,13,10,8,8,10,10,17,15
울산광역시,여자,6,6,5,6,7,7,5,5,6,8,6,5,7,4,5,7,6,7
세종특별자치시,계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
세종특별자치시,남자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
세종특별자치시,여자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
경기도,계,165,156,129,160,180,198,186,179,177,213,230,202,199,183,216,261,264,269
경기도,남자,104,101,80,99,114,121,121,124,121,142,144,125,124,113,127,153,150,161
경기도,여자,62,55,49,61,66,77,65,55,56,71,86,78,74,70,89,108,114,108
강원도,계,18,16,13,14,15,12,9,13,12,15,18,16,18,17,23,25,22,21
강원도,남자,12,11,8,8,7,7,7,9,8,10,12,9,10,9,13,15,12,11
강원도,여자,6,4,5,6,7,5,3,4,4,5,6,6,8,8,10,10,10,11
충청북도,계,25,24,18,22,19,16,16,16,16,16,17,19,16,16,25,22,23,20
충청북도,남자,17,15,11,14,12,10,11,11,10,11,10,10,10,10,14,13,12,10
충청북도,여자,8,9,7,8,7,7,5,6,7,5,7,9,5,6,11,10,11,9
충청남도,계,26,27,25,27,23,27,25,25,26,32,31,26,26,32,40,43,40,33
충청남도,남자,19,18,18,17,14,15,15,15,15,22,20,16,15,21,23,25,23,20
충청남도,여자,7,9,7,11,9,12,10,10,10,10,11,10,11,12,17,18,17,14
전라북도,계,27,28,22,24,24,21,22,20,19,17,19,21,18,18,23,16,20,24
전라북도,남자,18,19,15,15,15,16,17,14,13,11,13,13,12,11,14,8,13,15
전라북도,여자,9,9,7,9,9,5,5,7,7,6,7,7,6,7,9,8,7,9
전라남도,계,33,31,23,23,24,22,16,17,19,15,20,19,15,21,28,25,30,31
전라남도,남자,23,19,15,14,14,14,11,11,13,10,11,12,9,13,18,17,22,19
전라남도,여자,11,12,8,9,9,8,6,6,6,6,9,7,7,7,10,8,8,13
경상북도,계,48,38,31,31,37,34,33,29,29,38,39,36,36,45,43,45,47,41
경상북도,남자,33,25,20,21,24,24,21,18,21,25,23,23,23,27,26,28,27,23
경상북도,여자,14,13,11,10,13,11,12,11,9,13,17,13,14,18,18,17,20,18
경상남도,계,49,47,36,38,37,40,36,38,35,49,45,36,31,35,43,46,59,52
경상남도,남자,33,31,24,24,23,24,22,28,24,31,28,21,17,23,27,26,37,35
경상남도,여자,16,16,12,14,14,15,14,10,10,18,17,15,13,13,16,20,21,17
제주도,계,7,7,6,5,7,7,6,6,5,5,5,5,5,6,7,7,8,7
제주도,남자,5,4,4,3,4,5,4,4,3,3,3,3,3,3,3,4,5,4
제주도,여자,3,2,2,3,3,3,3,2,2,2,3,2,2,2,3,2,3,3
